cell_key,variant,mode,shape_name,shape_json,lengths_json,heads,dim,pre_change_default_normalized,post_heuristic_normalized,pretuned_aot_normalized,fla_triton_normalized,pretuned_aot_vs_post_heuristic,post_heuristic_vs_fla_triton,pre_change_default_latency_us,post_heuristic_latency_us,pretuned_aot_latency_us,fla_triton_latency_us
vanilla_linear_attn::forward_backward::B2_T16384_H16_D128,vanilla_linear_attn,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,3.07502552207849,3.6698612775821258,2.190413838989122,1.1934409165819122,1.4038559597019422,3328.798192270686,1082.5270126605858,907.0637663077695,1519.7119982619033
simple_gla::forward::B2_T16384_H16_D128,simple_gla,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,3.677949979410339,4.205850652382407,2.322695357441049,1.1435312268865339,1.5834835884213398,1261.0323124520053,342.86282290717236,299.82812436235525,542.9176531533196
simple_gla::forward_backward::B2_T16384_H16_D128,simple_gla,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,2.8426794971361122,3.216814869177889,1.6902926252878856,1.1316136315819998,1.681767674193074,3705.6180000305176,1303.565176363984,1151.952521587775,2192.2937748127415
retention::forward::B2_T16384_H16_D128,retention,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,3.6792078862251714,4.2144543480439145,2.3052226011741204,1.1454787221517673,1.5960315001038243,1261.4456876118977,342.8579538369406,299.31411837391994,547.2120943849001
retention::forward_backward::B2_T16384_H16_D128,retention,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,2.8423300421817865,3.2110480069759113,1.9921897984089958,1.1297238390060766,1.4267365712100977,3705.5496096611023,1303.7013839591634,1154.0000652780338,1860.0384424317558
full_gla::forward::B2_T16384_H16_D128,full_gla,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,2.1284638480671614,2.482906128467711,1.3098126263057974,1.1665249239363005,1.625013994612567,1768.793798937942,831.0189531967703,712.3885106480152,1350.4174287330377
full_gla::forward_backward::B2_T16384_H16_D128,full_gla,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,2.087425547660263,2.381654621108181,0.8968014770879335,1.1409530863401145,2.3276339312447254,5217.9581491570725,2499.709824384269,2190.8962378135093,5818.409405502618
delta_rule::forward::B2_T16384_H16_D128,delta_rule,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,2.3015289355193156,2.6113689637622213,1.7769008241931483,1.1346235641278146,1.295248954912489,1826.934627666595,793.7917266525118,699.6080037018265,1028.157904364846
delta_rule::forward_backward::B2_T16384_H16_D128,delta_rule,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,1.7121771934612047,1.936620766150609,1.994708595614127,1.131086650112239,0.8583595605021509,5655.078663016266,3302.858304977417,2920.0754024014614,2835.0400030612946
gated_delta_rule::forward::B2_T16384_H16_D128,gated_delta_rule,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,2.178239587777559,2.5790253761885085,2.143678523119585,1.183995273366539,1.0161223169823428,2053.486861501421,942.7277297795224,796.2259233510255,957.9266850670723
gated_delta_rule::forward_backward::B2_T16384_H16_D128,gated_delta_rule,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,1.5612074015461188,2.0672196943742875,1.8338441709376425,1.324115996585109,0.8513304599637139,6935.6896932735,4442.5165332965,3355.081084099683,3782.049643687713
kda::forward::B2_T16384_H16_D128,kda,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,1.8431141111908174,2.0095595196060962,1.3628046627328985,1.0903066214971033,1.352441888109431,2560.742950439453,1389.3567060723024,1274.2807194590569,1879.024206817924
kda::forward_backward::B2_T16384_H16_D128,kda,forward_backward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,1.2773127050932203,1.4527900052615021,1.2332785991788715,1.137380063212849,1.0357049136696828,10143.212795257568,7941.056841298154,6981.885033984517,8224.591590262748
kda_fused::forward::B2_T16384_H16_D128,kda_fused,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,1.722758300525762,1.9193725612903865,1.3550925916640117,1.1141275945120221,1.2713214662403756,2678.344809680904,1554.6840255324905,1395.4272681069606,1976.5031748804554
vanilla_linear_attn::forward::B4_T2048_H16_D128,vanilla_linear_attn,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,3.3729848041921846,3.1160822254731273,2.291048219812597,0.9238352398149673,1.4722452260162764,259.8779622209135,77.04688200727105,83.39894245937467,113.43190421464415
vanilla_linear_attn::forward_backward::B4_T2048_H16_D128,vanilla_linear_attn,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,2.5908641960062417,2.5096188042739924,1.7121769808440415,0.9686415861327324,1.5131988252341995,809.5249329195466,312.4536338752957,322.5688823899827,472.80447172025407
simple_gla::forward::B4_T2048_H16_D128,simple_gla,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,2.691327076089634,2.506845590089534,1.7310684139069359,0.9314533385261583,1.554720226230367,296.98358637066514,110.34838129082686,118.46903835830517,171.56086032462915
simple_gla::forward_backward::B4_T2048_H16_D128,simple_gla,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,2.2575207887335713,2.1166811559335716,1.3849314469211107,0.9376131402630369,1.630059591579312,881.4847140282111,390.46582358282876,416.44662048282294,636.4825609151055
retention::forward::B4_T2048_H16_D128,retention,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,2.7332005973155504,2.2971542441375243,1.1407595788290275,0.8404630989740399,2.395947970142087,297.00345668977906,108.66507821690256,129.29190865077942,260.3558735791188
retention::forward_backward::B4_T2048_H16_D128,retention,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,2.1938177908418193,2.1079358385524682,1.1815317632193099,0.9608527414410309,1.8567573544229923,881.903946587716,401.9950746453327,418.37324004763093,746.4073112895412
full_gla::forward::B4_T2048_H16_D128,full_gla,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.8632945079895986,2.1678957059448116,1.2859381616923495,1.1634745321521192,1.4489767575895123,431.5101426935965,231.58450843027188,199.0456189890998,335.5605701332564
full_gla::forward_backward::B4_T2048_H16_D128,full_gla,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.8869529840927612,2.1273340938409007,0.8852528511343661,1.1273911495276145,2.131541267192546,1257.6407079111066,666.4928689337613,591.1815692477512,1420.6570544218653
delta_rule::forward::B4_T2048_H16_D128,delta_rule,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.9970145940935833,2.289608290613816,1.4902352494300508,1.146515552457961,1.3400666739411466,421.6445538510926,211.13744240936362,184.15575955922787,282.9382501939563
delta_rule::forward_backward::B4_T2048_H16_D128,delta_rule,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.607641752260932,1.8381250208805393,1.5896887665223935,1.1433673069858155,1.0112933966173847,1355.4044670901949,843.1010610317882,737.3842647769949,852.622535702558
gated_delta_rule::forward::B4_T2048_H16_D128,gated_delta_rule,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.495241189228865,2.162643526634193,1.4348706780786478,1.4463509581016323,1.0420738342991689,466.42142608364776,311.93725095560904,215.67189429945387,325.0616471640536
gated_delta_rule::forward_backward::B4_T2048_H16_D128,gated_delta_rule,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.3593725031089732,1.871245143159797,1.6204294471916445,1.3765506797291673,0.8388964453002831,1657.327723640927,1219.185852185851,885.6817770238016,1022.7706775591067
kda::forward::B4_T2048_H16_D128,kda,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.564125467080553,1.6728150876275716,1.2930933174036372,1.0694890677471598,1.2095998378687107,586.5327130307209,374.9908337759417,350.62614951814925,453.5888517376318
kda::forward_backward::B4_T2048_H16_D128,kda,forward_backward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.252906405188631,1.3886684012564863,1.217568739155181,1.1083576518610068,1.0290231384044644,2458.055265811311,1961.8825920530267,1770.0807936489582,2018.822582055491
kda_fused::forward::B4_T2048_H16_D128,kda_fused,forward,B4_T2048_H16_D128,"[4,16,2048,128,128]",null,,,1.0,1.4702773788044354,1.608304971613502,1.0402275141988502,1.0938786073967246,1.4134190441374699,623.9995551274119,424.4094101718553,387.9858398381968,599.8683428480512
