cell_key,kernel_id,case_id,shape_and_dtype_json,baseline_origin,baseline_heuristic_name,post_heuristic_name,pre_change_selected_default_normalized,post_heuristic_normalized,quick_autotune_normalized,quick_autotune_vs_post_heuristic,pre_change_selected_default_latency_us,post_heuristic_latency_us,quick_autotune_latency_us
off::off.attention.causal_forward::causal_attention_b1_h8_s512_d64_f16,off.attention.causal_forward,causal_attention_b1_h8_s512_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[1,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[1,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[1,8,512,64],""stride"":[262144,32768,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,2.4935064817255532,2.1428570593321203,0.8593749705632299,30.719999223947525,12.319999746978283,14.336000196635723
off::off.attention.causal_forward::causal_attention_b2_h32_s1024_d64_f16,off.attention.causal_forward,causal_attention_b2_h32_s1024_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,0.538691902687808,2.692407802099011,4.9980476570470405,198.59200716018677,368.6560094356537,73.7600028514862
off::off.attention.causal_forward::causal_attention_b8_h16_s2048_d64_bf16,off.attention.causal_forward,causal_attention_b8_h16_s2048_d64_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[8,16,2048,64],""stride"":[2097152,131072,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[8,16,2048,64],""stride"":[2097152,131072,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[8,16,2048,64],""stride"":[2097152,131072,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,0.7750734687725922,3.3476872401397255,4.31918698680414,1460.2879881858826,1884.063959121704,436.20800971984863
off::off.attention.causal_forward::causal_attention_b4_h32_s4096_d128_bf16,off.attention.causal_forward,causal_attention_b4_h32_s4096_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]}]",default_config,,triton_b200_multi_matmul,1.0,1.9517103419210313,1.450389927584877,0.7431379013738718,8715.775966644287,4465.711832046509,6009.26399230957
off::off.attention.causal_forward::causal_attention_b1_h16_s8192_d128_bf16,off.attention.causal_forward,causal_attention_b1_h16_s8192_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1,16,8192,128],""stride"":[16777216,1048576,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1,16,8192,128],""stride"":[16777216,1048576,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1,16,8192,128],""stride"":[16777216,1048576,128,1]}]",default_config,,triton_b200_multi_matmul,1.0,2.0935254780195334,3.2331579801163355,1.5443604647099352,4191.103935241699,2001.9359588623047,1296.288013458252
off::off.attention.dense_forward::attention_b1_h4_m512_n512_d64_f16,off.attention.dense_forward,attention_b1_h4_m512_n512_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[1,4,512,64],""stride"":[131072,32768,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[1,4,512,64],""stride"":[131072,32768,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[1,4,512,64],""stride"":[131072,32768,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,0.5952582394395978,3.709762476654543,6.232190049392809,44.99199986457825,75.58400183916092,12.128000147640705
off::off.attention.dense_forward::attention_b2_h32_m1024_n1024_d64_f16,off.attention.dense_forward,attention_b2_h32_m1024_n1024_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,0.826446278506947,4.447532852743276,5.381514767999394,409.59998965263367,495.61598896980286,92.0960009098053
off::off.attention.dense_forward::attention_b8_h16_m2048_n2048_d64_bf16,off.attention.dense_forward,attention_b8_h16_m2048_n2048_d64_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[8,16,2048,64],""stride"":[2097152,131072,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[8,16,2048,64],""stride"":[2097152,131072,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[8,16,2048,64],""stride"":[2097152,131072,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,0.7850987317636897,4.509419501357406,5.743761031465677,2807.31201171875,3575.7439136505127,622.54399061203
off::off.attention.dense_forward::attention_b4_h32_m4096_n4096_d128_bf16,off.attention.dense_forward,attention_b4_h32_m4096_n4096_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,32,4096,128],""stride"":[16777216,524288,128,1]}]",default_config,,triton_b200_multi_matmul,1.0,8.119955333208775,2.55915248607815,0.31516829601411683,17780.62343597412,2189.743995666504,6947.856187820435
off::off.attention.dense_forward::attention_b4_h16_m128_n4096_d64_bf16,off.attention.dense_forward,attention_b4_h16_m128_n4096_d64_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,16,128,64],""stride"":[131072,8192,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,16,4096,64],""stride"":[4194304,262144,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,16,4096,64],""stride"":[4194304,262144,64,1]}]",default_config,,triton_b200_multi_matmul,1.0,2.9794325669627524,3.3500798605422375,1.1244019742850986,336.07999980449677,112.8000020980835,100.3199964761734
